Animal,Phase,Trial,Behaviour marked,Date,Time marking,Time recall,Total time,Behaviour offered,Double blind,Distractions,Trainer mark,Trainer recall
Eva,7,3,Spin,09/15/2020,09:58,16:01,363,Clap,0,1,Gris,Gris
Eva,7,4,Jump,09/17/2020,10:02,16:39,397,Tail wave,1,1,Gris,Juan Carlos
Eva,7,5,Sing,09/25/2020,09:55,16:10,375,Sing,1,1,Gris,Andrea
Eva,7,6,Sing,10/12/2020,09:53,16:55,422,Sing,1,1,Abby,Gris
Eva,7,7,Tail wave,09/23/2020,09:43,16:31,408,Clap,1,1,Gris,Andrea
Eva,7,8,Clap,09/26/2020,09:39,16:50,431,Sing,1,1,Gris,Andrea
Eva,7,9,Jump,09/30/2020,09:46,16:05,379,Splash,1,1,Gris,Andrea
Eva,7,10,Splash,09/29/2020,09:40,16:31,411,Tail wave,1,1,Andrea,Jorge
Eva,7,11,Clap,10/01/2020,10:37,16:13,336,Sing,0,1,Gris,Gris
Eva,7,12,Tail wave,10/03/2020,10:14,16:34,380,Tail wave,0,1,Gris,Gris
Eva,7,13,Clap,10/13/2020,09:57,16:06,366,Sing,0,1,Andrea,Andrea
Eva,7,14,Spin,10/14/2020,10:41,16:20,339,Spin,1,1,Gris,Andrea
Eva,7,15,Jump,10/05/2020,09:35,16:05,390,Jump,1,1,Gris,Tania
Eva,7,16,Tail wave,10/15/2020,10:22,16:44,382,Spin,1,1,Gris,Juan Carlos
Eva,7,17,Spin,10/19/2020,10:18,16:05,347,Spin,1,1,Gris,Abril
Eva,7,18,Splash,10/22/2020,09:44,16:05,381,Splash,1,1,Gris,Andrea
Lluvia,7,1,Splash,9/19/2020,09:47,16:34,407,Splash,1,1,Tania,Andrea
Lluvia,7,2,Tail wave,09/15/2020,09:58,16:48,410,Tail wave,0,1,Nayeli,Nayeli
Lluvia,7,3,Tail wave,09/20/2020,09:47,16:17,390,Splash,1,1,Nayeli,Andrea
Lluvia,7,4,Sing,09/14/2020,09:40,16:19,399,Sing,0,1,Nayeli,Nayeli
Lluvia,7,5,Spin,09/25/2020,10:18,16:24,366,Jump,1,1,Tania,Andrea
Lluvia,7,6,Clap,09/21/2020,09:47,16:23,396,Jump,1,1,Tania,Andrea
Lluvia,7,7,Splash,09/23/2020,10:14,16:22,368,Fart,1,1,Tania,Andrea
Lluvia,7,8,Tail wave,09/28/2020,09:50,16:09,379,Tail wave,1,1,Tania,Gris
Lluvia,7,9,Jump,09/29/2020,09:24,16:29,425,Jump,1,1,Tania,Andrea
Lluvia,7,10,Clap,09/30/2020,09:41,16:01,380,Clap,1,1,Tania,Juan Carlos
Lluvia,7,11,Splash,10/01/2020,10:20,16:14,354,Splash,1,1,Tania,Andrea
Lluvia,7,12,Spin,10/03/2020,10:00,16:08,368,Splash,1,1,Hector,Nayeli
Lluvia,7,13,Jump,10/14/2020,10:30,16:25,355,Spin,0,1,Andrea,Andrea
Lluvia,7,14,Clap,10/05/2020,09:41,16:22,401,Splash,1,1,Andrea,Tania
Lluvia,7,15,Sing,10/12/2020,09:35,16:37,422,Splash,1,1,Juan Carlos,Andrea
Lluvia,7,16,Spin,10/13/2020,09:44,16:00,376,Tail wave,1,1,Tania,Andrea
Lluvia,7,17,Jump,10/15/2020,10:16,16:39,383,Spin,1,1,Tania,Rafa
Lluvia,7,18,Sing,10/28/2020,09:44,16:14,390,Clap,1,1,Tania,Andrea
Nouba,7,1,Spin,09/20/2020,09:54,16:02,368,Spin,1,1,Abril,Juan Carlos
Nouba,7,2,Splash,09/21/2020,09:40,16:25,405,Clap,1,1,Abril,Andrea
